city,district,neighborhood,room,living_room,area_mSqr,building_age,floor,list-view-price
İzmir , Karşıyaka , Şemikler Mah.,2,1,85,4,2.0,28000.0
İzmir , Seferihisar , Hıdırlık Mah.,2,1,85,4,2.0,26000.0
İzmir , Bayraklı , Mansuroğlu Mah.,2,1,84,1,4.0,45000.0
İzmir , Tire , Fatih Mah.,2,1,115,5,2.0,29000.0
İzmir , Karşıyaka , Yalı Mah.,3,1,130,31,3.0,45000.0
İzmir , Torbalı , Türkmenköy Mah.,2,1,85,2,4.0,19500.0
İzmir , Çiğli , Balatçık Mah.,2,1,90,3,5.0,37000.0
İzmir , Karşıyaka , Bostanlı Mah.,3,1,150,34,4.0,43000.0
İzmir , Torbalı , Muratbey Mah.,3,1,145,16,5.0,18000.0
İzmir , Menemen , 30 Ağustos Mah.,3,1,130,25,2.0,25000.0
İzmir , Çeşme , Ovacık Mah.,1,1,45,1,0.0,25000.0
İzmir , Bornova , Kızılay Mah.,3,1,125,16,1.0,33000.0
İzmir , Buca , İnönü Mah.,2,1,95,6,4.0,20000.0
İzmir , Karşıyaka , Şemikler Mah.,3,1,120,10,2.0,40000.0
İzmir , Karabağlar , Vatan Mah.,3,1,110,34,1.0,25000.0
İzmir , Çiğli , Egekent Mah.,3,1,125,35,5.0,25000.0
İzmir , Torbalı , Alpkent Mah.,3,1,148,4,2.0,23500.0
İzmir , Bayraklı , Tepekule Mah.,3,1,125,20,6.0,30000.0
İzmir , Aliağa , Yalı Mah.,2,1,75,0,0.0,35000.0
İzmir , Torbalı , Muratbey Mah.,2,1,105,22,3.0,28000.0
İzmir , Çiğli , Balatçık Mah.,1,1,50,0,7.0,21900.0
İzmir , Buca , İnkılap Mah.,2,1,85,7,3.0,24000.0
İzmir , Buca , Adatepe Mah.,3,1,135,20,0.0,24000.0
İzmir , Gaziemir , Irmak Mah.,3,1,128,7,3.0,47000.0
İzmir , Menderes , Gümüldür Fevzi Çakmak Mah.,3,1,130,21,0.0,40000.0
İzmir , Karşıyaka , Örnekköy Mah.,2,1,90,26,2.0,20000.0
İzmir , Karşıyaka , İmbatlı Mah.,2,1,85,0,3.0,32500.0
İzmir , Gaziemir , Atıfbey Mah.,3,1,125,11,1.0,35000.0
İzmir , Menemen , Gazi Mustafa Kemal Mah.,1,1,45,0,1.0,14000.0
İzmir , Çiğli , Atatürk Mah.,2,1,85,0,4.0,23000.0
İzmir , Buca , Ufuk Mah.,2,1,80,35,0.0,15000.0
İzmir , Bornova , Ergene Mah.,3,1,140,19,5.0,29000.0
İzmir , Menemen , İnönü Mah.,1,1,45,0,3.0,15500.0
İzmir , Bornova , İnönü Mah.,2,1,110,25,3.0,27000.0
İzmir , Buca , Efeler Mah.,3,1,140,25,2.0,26000.0
İzmir , Menemen , 9 Eylül Mah.,3,1,160,4,3.0,45000.0
İzmir , Bayraklı , Onur Mah.,3,1,120,30,1.0,15000.0
İzmir , Buca , Atatürk Mah.,1,1,75,4,0.0,18650.0
İzmir , Bergama , İslamsaray Mah.,1,1,70,0,2.0,19750.0
İzmir , Karşıyaka , Örnekköy Mah.,3,1,125,6,2.0,31500.0
İzmir , Menemen , 85. Yıl Cumhuriyet Mah.,1,1,70,0,5.0,18000.0
İzmir , Karşıyaka , Bahçelievler Mah.,3,1,135,25,3.0,45000.0
İzmir , Karabağlar , Bahar Mah.,3,1,115,0,3.0,40000.0
İzmir , Urla , M. Fevzi Çakmak Mah.,3,1,110,11,3.0,40000.0
İzmir , Karşıyaka , Tersane Mah.,3,1,139,25,3.0,26000.0
İzmir , Karşıyaka , Bahçelievler Mah.,3,1,135,26,5.0,38000.0
İzmir , Foça , Mustafa Kemal Atatürk Mah.,2,1,76,8,3.0,32000.0
İzmir , Karabağlar , Refet Bele Mah.,2,1,75,2,1.0,21000.0
İzmir , Bayraklı , Mansuroğlu Mah.,3,1,120,0,5.0,50000.0
İzmir , Buca , Adatepe Mah.,1,1,55,2,2.0,30000.0
İzmir , Konak , Altıntaş Mah.,2,1,90,31,2.0,20000.0
İzmir , Menemen , 9 Eylül Mah.,2,1,110,6,7.0,35000.0
İzmir , Torbalı , Cumhuriyet Mah.,2,1,95,25,8.0,16500.0
İzmir , Buca , Adatepe Mah.,1,1,55,6,0.0,22000.0
İzmir , Torbalı , Fevzi Çakmak Mah.,1,1,60,6,0.0,18000.0
İzmir , Balçova , Onur Mah.,2,1,95,31,0.0,33000.0
İzmir , Bornova , İnönü Mah.,1,1,55,6,2.0,20000.0
İzmir , Buca , Laleli Mah.,2,1,97,21,2.0,24000.0
İzmir , Bayraklı , Çay Mah.,1,1,65,6,2.0,21500.0
İzmir , Bornova , Erzene Mah.,3,1,115,30,2.0,25000.0
İzmir , Buca , Yiğitler Mah.,2,1,98,26,4.0,20000.0
İzmir , Menemen , Zafer Mah.,1,1,60,21,0.0,12500.0
İzmir , Seferihisar , Hıdırlık Mah.,1,1,70,0,0.0,25000.0
İzmir , Menemen , 85. Yıl Cumhuriyet Mah.,1,1,52,3,3.0,17000.0
İzmir , Karşıyaka , Cumhuriyet Mah.,1,1,50,21,0.0,14000.0
İzmir , Menemen , İnönü Mah.,2,1,80,6,2.0,24000.0
İzmir , Karşıyaka , Yalı Mah.,3,1,105,26,0.0,30000.0
İzmir , Bayraklı , Adalet Mah.,2,1,80,3,0.0,40000.0
İzmir , Buca , Yaylacık Mah.,2,1,75,5,2.0,28000.0
İzmir , Balçova , Onur Mah.,3,1,148,31,2.0,38500.0
İzmir , Ödemiş , Cumhuriyet Mah.,2,1,120,16,2.0,16500.0
İzmir , Balçova , Onur Mah.,2,1,100,35,2.0,27000.0
İzmir , Foça , Fevzipaşa Mah.,1,1,50,26,0.0,28500.0
İzmir , Karşıyaka , Şemikler Mah.,3,1,115,6,4.0,46000.0
İzmir , Karşıyaka , Örnekköy Mah.,3,1,110,2,4.0,41000.0
İzmir , Kemalpaşa , Çambel Mah.,3,1,135,2,1.0,22500.0
İzmir , Buca , Yaylacık Mah.,1,1,55,0,3.0,26000.0
İzmir , Buca , Kuruçeşme Mah.,1,1,45,0,3.0,21000.0
İzmir , Karşıyaka , Dedebaşı Mah.,3,1,130,15,5.0,35000.0
İzmir , Bayraklı , Soğukkuyu Mah.,3,1,140,23,3.0,32000.0
İzmir , Çiğli , Ataşehir Mah.,2,1,75,0,3.0,40000.0
İzmir , Torbalı , Ayrancılar Mah.,2,1,90,20,1.0,19500.0
İzmir , Karabağlar , Sevgi Mah.,3,1,110,6,3.0,32500.0
İzmir , Çiğli , Balatçık Mah.,1,1,55,2,4.0,26000.0
İzmir , Güzelbahçe , Yelki Mah.,2,1,80,5,0.0,41000.0
İzmir , Seferihisar , Bengiler Mah.,2,1,100,6,3.0,29000.0
İzmir , Çiğli , Balatçık Mah.,1,1,75,6,7.0,30000.0
İzmir , Karabağlar , Arap Hasan Mah.,2,1,85,8,3.0,40000.0
İzmir , Konak , Çankaya Mah.,3,1,120,22,4.0,27000.0
İzmir , Gaziemir , Binbaşı Reşatbey Mah.,2,1,128,5,2.0,40000.0
İzmir , Gaziemir , Hürriyet Mah.,2,1,130,1,1.0,40000.0
İzmir , Bayraklı , Çay Mah.,2,1,85,16,3.0,21000.0
İzmir , Karşıyaka , Şemikler Mah.,2,1,84,13,3.0,30000.0
İzmir , Menemen , 30 Ağustos Mah.,3,1,125,22,2.0,24000.0
İzmir , Bornova , Kızılay Mah.,2,1,75,8,3.0,23000.0
İzmir , Karşıyaka , Bostanlı Mah.,2,1,90,8,2.0,45000.0
İzmir , Karşıyaka , Bahçelievler Mah.,3,1,150,18,5.0,40000.0
İzmir , Karabağlar , Üçkuyular Mah.,3,1,140,35,4.0,38000.0
İzmir , Karabağlar , Bozyaka Mah.,2,1,90,4,3.0,23500.0
İzmir , Bayraklı , Alpaslan Mah.,1,1,70,6,5.0,20000.0
İzmir , Seferihisar , Mersin Alanı Mah.,4,1,200,25,3.0,43000.0
İzmir , Konak , Altıntaş Mah.,2,1,90,45,4.0,30000.0
İzmir , Kemalpaşa , Sekiz Eylül Mah.,2,1,115,6,1.0,35000.0
İzmir , Karabağlar , Tahsin Yazıcı Mah.,2,1,100,26,2.0,19500.0
İzmir , Karşıyaka , Dedebaşı Mah.,1,1,48,0,0.0,23000.0
İzmir , Bornova , İnönü Mah.,3,1,140,16,2.0,31000.0
İzmir , Karşıyaka , Bostanlı Mah.,1,1,60,6,5.0,38500.0
İzmir , Buca , İnkılap Mah.,3,1,135,11,3.0,35000.0
İzmir , Buca , İnkılap Mah.,3,1,130,10,2.0,35000.0
İzmir , Karabağlar , Üçkuyular Mah.,2,1,120,31,5.0,34000.0
İzmir , Buca , Adatepe Mah.,2,1,110,23,2.0,16000.0
İzmir , Buca , Adatepe Mah.,1,1,45,0,2.0,25000.0
İzmir , Aliağa , Şakran Sayfiye Mah.,3,1,130,6,3.0,23000.0
İzmir , Buca , İnkılap Mah.,3,1,135,27,2.0,33500.0
İzmir , Bornova , Kazımdirik Mah.,2,1,102,36,2.0,34000.0
İzmir , Balçova , Onur Mah.,3,1,130,0,3.0,55000.0
İzmir , Torbalı , Yemişlik Mah.,3,1,170,4,5.0,35000.0
İzmir , Seferihisar , Sığacık Mah.,3,1,130,6,2.0,42500.0
İzmir , Bayraklı , Gümüşpala Mah.,2,1,115,30,0.0,23000.0
İzmir , Konak , Kılıç Reis Mah.,2,1,100,31,3.0,25000.0
İzmir , Karşıyaka , Yalı Mah.,3,1,120,15,4.0,48000.0
İzmir , Karşıyaka , Örnekköy Mah.,1,1,86,8,3.0,33000.0
İzmir , Karabağlar , Vatan Mah.,2,1,85,36,5.0,22000.0
İzmir , Seferihisar , Çolak İbrahim Bey Mah.,1,1,60,5,0.0,26000.0
İzmir , Karşıyaka , Bahçelievler Mah.,2,1,100,31,4.0,31000.0
İzmir , Menderes , Gümüldür Cumhuriyet Mah.,3,1,110,26,3.0,23000.0
İzmir , Konak , Murat Reis Mah.,3,1,120,15,4.0,37000.0
İzmir , Karabağlar , Üçkuyular Mah.,3,1,115,35,2.0,22000.0
İzmir , Karabağlar , Tahsin Yazıcı Mah.,3,1,138,26,3.0,30000.0
İzmir , Bornova , Atatürk Mah.,3,1,135,18,2.0,30000.0
İzmir , Konak , Kocatepe Mah.,1,1,55,4,1.0,28000.0
İzmir , Bayraklı , Osmangazi Mah.,2,1,75,9,1.0,19000.0
İzmir , Karşıyaka , Nergiz Mah.,2,1,130,31,5.0,42000.0
İzmir , Menderes , Cüneytbey Mah.,2,1,100,10,5.0,30000.0
İzmir , Karşıyaka , Donanmacı Mah.,3,1,120,22,2.0,35000.0
İzmir , Buca , Yenigün Mah.,3,1,135,22,0.0,30000.0
İzmir , Menemen , Ahıhıdır Mah.,2,1,80,0,5.0,21500.0
İzmir , Bayraklı , Manavkuyu Mah.,3,1,135,31,1.0,49000.0
İzmir , Balçova , Onur Mah.,2,1,90,20,3.0,25000.0
İzmir , Buca , Atatürk Mah.,1,1,75,4,0.0,20250.0
İzmir , Karabağlar , Kazım Karabekir Mah.,3,1,125,6,4.0,29500.0
İzmir , Bergama , Fatih Mah.,3,1,139,7,1.0,31000.0
İzmir , Balçova , Çetin Emeç Mah.,2,1,75,5,2.0,40000.0
İzmir , Konak , Mimar Sinan Mah.,3,1,160,25,7.0,50000.0
İzmir , Bornova , Erzene Mah.,1,1,60,5,4.0,27500.0
İzmir , Karabağlar , Peker Mah.,1,1,65,20,5.0,15000.0
İzmir , Narlıdere , Çamtepe Mah.,2,1,75,30,4.0,31000.0
İzmir , Menemen , Kemal Atatürk Mah.,1,1,60,3,2.0,16000.0
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,130,26,3.0,27000.0
İzmir , Karabağlar , Doğanay Mah.,3,1,120,20,1.0,20000.0
İzmir , Urla , Hacı İsa Mah.,2,1,115,16,2.0,35000.0
İzmir , Bayraklı , Mansuroğlu Mah.,2,1,67,2,6.0,48000.0
İzmir , Gaziemir , Atıfbey Mah.,3,1,125,25,5.0,30000.0
İzmir , Bornova , Yeşilova Mah.,1,1,100,30,5.0,20000.0
İzmir , Bornova , Mevlana Mah.,1,1,65,6,3.0,23000.0
İzmir , Aliağa , Çakmaklı Mah.,2,1,100,31,0.0,26000.0
İzmir , Bayraklı , Onur Mah.,1,1,50,6,1.0,25000.0
İzmir , Menemen , İstiklal Mah.,3,1,125,21,2.0,29000.0
İzmir , Konak , Ulubatlı Mah.,2,1,100,26,1.0,18000.0
İzmir , Karabağlar , Bahar Mah.,2,1,120,17,2.0,24000.0
İzmir , Karşıyaka , Goncalar Mah.,2,1,105,1,0.0,34500.0
İzmir , Karşıyaka , Bahçelievler Mah.,1,1,60,6,7.0,35000.0
İzmir , Bayraklı , Osmangazi Mah.,3,1,140,36,3.0,33000.0
İzmir , Menemen , İstiklal Mah.,3,1,135,26,6.0,20000.0
İzmir , Karşıyaka , Yalı Mah.,3,1,125,34,6.0,32000.0
İzmir , Buca , Atatürk Mah.,1,1,50,9,3.0,20000.0
İzmir , Bornova , Evka 4 Mah.,1,1,60,25,4.0,17000.0
İzmir , Karşıyaka , Şemikler Mah.,2,1,85,11,4.0,35000.0
İzmir , Çiğli , Ataşehir Mah.,3,1,167,21,0.0,33000.0
İzmir , Torbalı , Alpkent Mah.,1,1,50,1,1.0,19500.0
İzmir , Seferihisar , Çolak İbrahim Bey Mah.,2,1,100,0,0.0,25000.0
İzmir , Çiğli , Yeni Mahalle Mah.,2,1,72,6,2.0,24000.0
İzmir , Buca , Yeşilbağlar Mah.,2,1,90,2,0.0,20900.0
İzmir , Buca , Atatürk Mah.,1,1,55,3,3.0,19000.0
İzmir , Karabağlar , Gülyaka Mah.,2,1,100,0,0.0,28000.0
İzmir , Karabağlar , Bahçelievler Mah.,3,1,130,35,7.0,36000.0
İzmir , Karşıyaka , Bahriye Üçok Mah.,3,1,130,29,5.0,31000.0
İzmir , Konak , Akın Simav Mah.,3,1,125,16,4.0,31000.0
İzmir , Balçova , Eğitim Mah.,1,1,90,35,2.0,30000.0
İzmir , Menderes , Barbaros Mah.,3,1,120,11,3.0,21000.0
İzmir , Çiğli , Atatürk Mah.,1,1,55,11,6.0,23000.0
İzmir , Menderes , Barbaros Mah.,2,1,90,15,2.0,24000.0
İzmir , Buca , Atatürk Mah.,1,1,60,1,4.0,33000.0
İzmir , Güzelbahçe , Yelki Mah.,3,1,120,16,1.0,45000.0
İzmir , Çiğli , İnönü Mah.,3,1,130,15,4.0,28000.0
İzmir , Karşıyaka , Demirköprü Mah.,1,1,50,6,3.0,37000.0
İzmir , Menemen , Gazi Mustafa Kemal Mah.,2,1,70,5,5.0,17000.0
İzmir , Menemen , Esatpaşa Mah.,3,1,130,25,3.0,23000.0
İzmir , Karşıyaka , Zübeyde Hanım Mah.,1,1,50,6,0.0,19500.0
İzmir , Bayraklı , Muhittin Erener Mah.,2,1,95,4,3.0,15000.0
İzmir , Karşıyaka , İnönü Mah.,2,1,88,11,3.0,43000.0
İzmir , Ödemiş , İnönü Mah.,2,1,85,30,0.0,16000.0
İzmir , Urla , Altıntaş Mah.,1,1,40,7,0.0,30000.0
İzmir , Konak , Zafertepe Mah.,3,1,115,13,2.0,30000.0
İzmir , Menemen , 30 Ağustos Mah.,3,1,130,21,7.0,25000.0
İzmir , Buca , Yaylacık Mah.,1,1,55,4,0.0,25000.0
İzmir , Karabağlar , Doğanay Mah.,3,1,130,26,2.0,26000.0
İzmir , Çiğli , Esentepe Mah.,2,1,100,3,6.0,27000.0
İzmir , Buca , Hürriyet Mah.,3,1,120,13,3.0,29000.0
İzmir , Aliağa , Şakran Sayfiye Mah.,2,1,90,2,0.0,32000.0
İzmir , Bayraklı , Bayraklı Mah.,3,1,140,35,5.0,28000.0
İzmir , Buca , Efeler Mah.,2,1,90,35,3.0,35000.0
İzmir , Menderes , Gümüldür Fevzi Çakmak Mah.,2,1,90,6,1.0,25000.0
İzmir , Foça , Kazım Dirik Mah.,2,1,70,0,5.0,20000.0
İzmir , Konak , Kılıç Reis Mah.,2,1,100,35,3.0,25000.0
İzmir , Karabağlar , Üçkuyular Mah.,3,1,135,30,7.0,35000.0
İzmir , Bornova , Kazımdirik Mah.,3,1,120,33,7.0,30000.0
İzmir , Menemen , 9 Eylül Mah.,2,1,80,7,4.0,23000.0
İzmir , Karabağlar , Sarıyer Mah.,3,1,115,26,0.0,15000.0
İzmir , Menderes , Ata Mah.,2,1,100,31,1.0,24000.0
İzmir , Karabağlar , Esenyalı Mah.,3,1,120,31,4.0,43000.0
İzmir , Karşıyaka , Şemikler Mah.,2,1,110,12,6.0,26000.0
İzmir , Buca , Efeler Mah.,2,1,105,30,3.0,23500.0
İzmir , Karşıyaka , Bostanlı Mah.,2,1,77,0,2.0,50000.0
İzmir , Balçova , Onur Mah.,1,1,65,31,0.0,30000.0
İzmir , Konak , Alsancak Mah.,3,1,145,35,4.0,30000.0
İzmir , Karşıyaka , Bahariye Mah.,3,1,140,25,5.0,25000.0
İzmir , Çiğli , Evka - 2 Mah.,2,1,86,26,5.0,25000.0
İzmir , Karşıyaka , Bahçelievler Mah.,3,1,120,30,2.0,35000.0
İzmir , Menderes , Gümüldür Cumhuriyet Mah.,2,1,80,21,3.0,27000.0
İzmir , Gaziemir , Gazi Mah.,3,1,100,26,3.0,35000.0
İzmir , Karşıyaka , Bostanlı Mah.,1,1,60,3,1.0,38000.0
Manisa , Turgutlu , Yılmazlar Mah.,4,1,180,35,3.0,18900.0
Manisa , Yunusemre , Muradiye Mah.,2,1,85,8,3.0,18000.0
Manisa , Şehzadeler , Utku Mah.,3,1,120,28,1.0,30000.0
Manisa , Şehzadeler , Yarhasanlar Mah.,3,1,135,5,2.0,29000.0
Manisa , Salihli , Kurtuluş Mah.,3,1,140,30,2.0,20000.0
Manisa , Salihli , Cumhuriyet Mah.,3,1,140,20,4.0,21000.0
Manisa , Yunusemre , Muradiye Mah.,1,1,45,1,2.0,15000.0
Manisa , Salihli , Cumhuriyet Mah.,2,1,100,25,3.0,16000.0
Manisa , Yunusemre , Muradiye Mah.,1,1,49,0,2.0,18000.0
Manisa , Turgutlu , Ergenekon Mah.,2,1,170,7,3.0,40000.0
Manisa , Yunusemre , Mutlu Mah.,2,1,105,11,1.0,21000.0
Manisa , Salihli , Namık Kemal Mah.,1,1,50,7,2.0,20000.0
Manisa , Akhisar , Seyit Ahmet Mah.,2,1,110,0,2.0,18000.0
Manisa , Yunusemre , 75. Yıl Mah.,3,1,130,25,2.0,32000.0
Manisa , Salihli , Cumhuriyet Mah.,2,1,100,25,4.0,12000.0
Manisa , Akhisar , Reşat Bey Mah.,2,1,80,0,2.0,18000.0
Manisa , Yunusemre , Muradiye Mah.,2,1,85,8,2.0,18500.0
Manisa , Yunusemre , Muradiye Mah.,3,1,110,14,1.0,20000.0
Manisa , Yunusemre , Topçuasım Mah.,2,1,85,6,6.0,23000.0
Manisa , Şehzadeler , Kuşlubahçe Mah.,3,1,125,11,1.0,25000.0
Manisa , Yunusemre , Akgedik Mah.,3,1,118,0,1.0,16000.0
Manisa , Akhisar , Hacı İshak Mah.,3,1,140,6,2.0,24000.0
Manisa , Yunusemre , Muradiye Mah.,4,1,160,4,5.0,24000.0
Manisa , Şehzadeler , Peker Mah.,3,1,125,22,3.0,28000.0
Manisa , Yunusemre , Muradiye Mah.,1,1,60,0,0.0,27500.0
Manisa , Turgutlu , Altay Mah.,3,1,125,21,3.0,20000.0
Manisa , Turgutlu , Ergenekon Mah.,3,1,145,8,5.0,35000.0
Manisa , Saruhanlı , Cengiz Topel Mah.,1,1,60,1,3.0,13500.0
Manisa , Salihli , Namık Kemal Mah.,1,1,50,7,3.0,20000.0
Manisa , Yunusemre , Uncubozköy Mah.,2,1,67,3,7.0,47000.0
Manisa , Yunusemre , Tevfikiye Mah.,3,1,125,25,2.0,25000.0
Manisa , Turgutlu , Ergenekon Mah.,3,1,135,11,3.0,25000.0
Manisa , Akhisar , Hürriyet Mah.,3,1,145,11,4.0,24000.0
Manisa , Yunusemre , Muradiye Mah.,1,1,60,0,4.0,20000.0
Manisa , Yunusemre , Atatürk Mah.,2,1,72,5,3.0,16000.0
Manisa , Yunusemre , Muradiye Mah.,2,1,80,0,1.0,19000.0
Manisa , Turgutlu , Yedi Eylül Mah.,2,1,95,25,5.0,15000.0
Manisa , Yunusemre , Uncubozköy Mah.,1,1,145,16,5.0,25000.0
Manisa , Yunusemre , Muradiye Mah.,1,1,50,8,4.0,16500.0
Manisa , Şehzadeler , Dinçer Mah.,3,1,125,26,3.0,27000.0
Manisa , Şehzadeler , Sakarya Mah.,3,1,165,26,1.0,25000.0
Manisa , Yunusemre , Karaali Mah.,2,1,85,6,0.0,26000.0
Manisa , Turgutlu , Subaşı Mah.,3,1,125,16,3.0,20000.0
Manisa , Turgutlu , Yılmazlar Mah.,4,1,180,32,4.0,16900.0
Manisa , Salihli , Yörük Mah.,3,1,145,18,5.0,28000.0
Manisa , Akhisar , Efendi Mah.,1,1,55,0,3.0,15000.0
Manisa , Saruhanlı , İstasyon Mah.,2,1,80,1,3.0,15000.0
Manisa , Yunusemre , Muradiye Mah.,1,1,65,6,1.0,22000.0
Manisa , Turgutlu , Yıldırım Mah.,3,1,140,40,2.0,17000.0
Manisa , Saruhanlı , İstasyon Mah.,3,1,135,0,4.0,25000.0
Manisa , Yunusemre , Muradiye Mah.,2,1,70,0,4.0,20000.0
Manisa , Turgutlu , Ergenekon Mah.,2,1,110,9,1.0,30000.0
Manisa , Akhisar , Hacı İshak Mah.,2,1,110,11,2.0,16000.0
Manisa , Akhisar , Hürriyet Mah.,3,1,105,20,2.0,19000.0
Manisa , Turgutlu , Ergenekon Mah.,3,1,165,6,5.0,25000.0
